ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
146,Control,Educación,7,Social Sciences/Education,Masculino,2000,3,Ninguna,4,3,3,3,3,2,2,2,3,2,1,1,4,3,4,4,4,5,4,4,5,3,4,5,4,2,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,T1,15,3.0,4,1.83,3,4.0,5,3.83,3,3.23
147,Control,Ciencias Sociales,8,Social Sciences/Education,Femenino,2001,6,Básica,2,4,5,4,3,4,3,4,2,3,3,4,3,4,4,3,3,3,2,2,2,3,4,4,2,3,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,T1,15,3.67,5,3.17,3,3.0,5,3.0,2,3.19
148,Control,Ingeniería,5,Engineering/Sciences,Femenino,1999,3,Ninguna,3,3,4,4,1,5,1,5,4,5,1,4,4,3,1,4,4,2,5,4,4,5,4,5,5,4,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,T1,16,3.33,4,3.33,2,3.38,4,4.5,6,3.62
149,Control,Ciencias Sociales,8,Social Sciences/Education,Femenino,2001,9,Básica,4,4,4,4,4,4,3,4,2,3,4,4,5,5,4,4,5,5,5,5,3,4,5,3,4,5,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,T1,18,4.0,5,3.33,3,4.75,6,4.0,4,4.08
150,Control,Arte y Humanidades,7,Social Sciences/Education,Masculino,2003,3,Básica,3,2,2,1,1,4,1,1,1,1,2,1,1,3,3,2,3,1,2,2,3,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,T1,4,2.17,1,1.17,0,2.12,2,2.83,1,2.08
1,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2002,6,Básica,4,4,5,4,3,5,5,3,5,4,2,3,5,5,5,5,5,5,4,3,5,4,5,4,5,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,T2,21,4.17,6,3.67,4,4.62,7,4.5,4,4.27
2,Experimental,Ciencias Sociales,4,Social Sciences/Education,Masculino,2002,6,Básica,4,3,4,4,3,3,2,2,2,2,2,1,5,5,5,5,5,4,5,5,2,2,3,4,4,2,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,T2,13,3.5,4,1.83,0,4.88,6,2.83,3,3.38
3,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Masculino,2004,2,Básica,4,3,4,4,5,3,4,3,4,2,4,2,4,4,4,5,4,5,3,4,4,5,4,2,4,3,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,T2,14,3.83,4,3.17,3,4.12,5,3.67,2,3.73
4,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2004,5,Avanzada,3,4,1,3,3,4,2,2,1,2,3,2,3,2,2,3,3,1,3,2,3,2,4,2,1,3,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,T2,10,3.0,2,2.0,1,2.38,5,2.5,2,2.46
5,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2003,6,Básica,2,4,4,2,2,4,2,3,2,3,2,3,4,4,3,4,5,5,5,4,3,3,2,2,3,3,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,T2,15,3.0,4,2.5,2,4.25,5,2.67,4,3.19
6,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,2001,8,Básica,3,4,5,5,5,5,2,3,3,2,2,4,4,5,4,3,5,3,5,2,2,2,2,4,2,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,T2,16,4.5,5,2.67,3,3.88,6,2.33,2,3.38
7,Experimental,Ciencias,1,Engineering/Sciences,No binario,2000,5,Básica,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,T2,5,1.33,0,1.33,2,1.5,1,2.0,2,1.54
8,Experimental,Educación,3,Social Sciences/Education,Masculino,2000,2,Ninguna,3,2,2,2,4,3,2,2,2,1,3,2,2,2,4,1,3,2,3,2,4,5,1,5,3,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,T2,11,2.67,3,2.0,4,2.38,2,3.33,2,2.58
9,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2005,4,Básica,5,3,5,5,5,5,3,5,3,3,4,1,5,5,5,5,2,1,4,5,4,4,3,3,2,3,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,T2,18,4.67,5,3.17,3,4.0,6,3.17,4,3.77
10,Experimental,Educación,3,Social Sciences/Education,Masculino,2002,6,Ninguna,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T2,4,1.5,2,1.17,1,1.38,1,1.33,0,1.35
11,Experimental,Educación,3,Social Sciences/Education,Masculino,2002,2,Intermedia,4,3,3,4,5,4,2,2,3,3,4,3,4,5,2,4,4,4,2,4,4,3,3,3,2,5,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,T2,15,3.83,4,2.83,3,3.62,5,3.33,3,3.42
12,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2005,6,Ninguna,2,2,2,3,4,3,3,1,2,3,2,2,4,4,3,3,3,4,4,3,4,4,4,2,4,5,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,T2,14,2.67,2,2.17,1,3.5,7,3.83,4,3.08
13,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,2001,8,Intermedia,2,2,3,3,4,2,2,3,1,1,2,2,3,4,4,2,4,3,4,3,3,3,3,3,2,3,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,T2,13,2.67,5,1.83,1,3.38,5,2.83,2,2.73
14,Experimental,Educación,3,Social Sciences/Education,Masculino,1998,6,Básica,3,3,3,3,2,2,2,1,2,2,2,4,5,3,3,3,5,2,5,4,4,4,4,5,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,T2,13,2.67,3,2.17,1,3.75,5,3.5,4,3.08
15,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2002,7,Básica,1,1,3,1,1,3,2,2,1,1,3,1,3,5,2,3,4,4,3,4,2,3,4,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,T2,7,1.67,1,1.67,0,3.5,3,3.33,3,2.62
16,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2001,10,Ninguna,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,T2,3,1.5,0,1.33,0,1.25,2,1.33,1,1.35
17,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2001,10,Básica,5,5,5,5,4,4,5,3,4,3,4,3,4,4,4,4,5,4,4,4,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,T2,25,4.67,6,3.67,6,4.12,7,4.67,6,4.27
18,Experimental,Educación,3,Social Sciences/Education,Femenino,2002,3,Básica,4,5,5,5,5,3,4,5,4,3,3,3,5,5,4,5,5,5,4,3,5,5,5,5,4,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,T2,24,4.5,6,3.67,4,4.5,8,4.5,6,4.31
19,Experimental,Ingeniería,2,Engineering/Sciences,No binario,2005,9,Intermedia,5,4,2,5,3,2,4,3,3,3,1,2,2,1,2,2,2,2,3,2,3,3,1,5,4,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,T2,14,3.5,3,2.67,5,2.0,3,2.83,3,2.69
20,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2003,6,Básica,4,4,2,3,3,3,3,1,3,1,2,1,3,5,3,3,4,3,3,3,1,2,2,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,T2,13,3.17,3,1.83,3,3.38,6,1.33,1,2.5
21,Experimental,Educación,3,Social Sciences/Education,Masculino,2000,6,Básica,3,1,2,2,1,5,2,1,2,2,1,5,5,5,5,5,5,3,5,5,2,2,2,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,T2,11,2.33,1,2.17,1,4.75,7,1.83,2,2.92
22,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2004,5,Básica,2,2,3,3,2,3,2,2,3,1,2,3,5,4,4,3,3,4,3,2,4,2,3,3,3,3,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,T2,14,2.5,2,2.17,3,3.5,5,3.0,4,2.85
23,Experimental,Ingeniería,2,Engineering/Sciences,No binario,2001,4,Ninguna,2,3,4,3,3,3,2,1,2,2,3,2,2,5,4,4,3,3,3,4,3,5,3,3,4,2,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,T2,11,3.0,2,2.0,1,3.5,4,3.33,4,3.0
24,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2003,4,Básica,2,1,2,3,2,4,2,3,1,1,1,1,4,4,3,3,2,2,3,1,1,2,1,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,T2,10,2.33,3,1.5,2,2.75,5,1.33,0,2.04
25,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2004,4,Básica,5,5,4,5,5,3,4,3,2,3,3,4,5,5,4,5,3,5,2,5,4,4,4,3,5,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,T2,20,4.5,6,3.17,2,4.25,7,3.83,5,3.96
26,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,1999,8,Básica,1,1,3,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,4,2,1,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,T2,4,1.33,0,1.5,1,1.75,3,1.5,0,1.54
27,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2002,3,Básica,3,2,4,3,3,4,2,3,3,2,4,3,4,5,4,5,5,4,4,5,4,4,2,1,3,3,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,T2,18,3.17,4,2.83,4,4.5,6,2.83,4,3.42
28,Experimental,Educación,3,Social Sciences/Education,Femenino,2000,5,Básica,2,3,1,4,5,2,3,2,2,3,1,1,2,1,1,4,2,1,1,2,3,2,2,1,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,T2,7,2.83,3,2.0,1,1.75,2,2.0,1,2.12
29,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2003,6,Ninguna,2,4,2,4,3,4,2,3,4,3,3,4,4,4,3,4,5,5,4,4,5,3,4,5,4,5,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,T2,19,3.17,5,3.17,3,4.12,6,4.33,5,3.73
30,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,1998,6,Intermedia,2,1,1,2,1,1,1,1,1,1,2,1,5,3,5,2,4,5,5,1,5,1,1,2,1,4,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,T2,7,1.33,2,1.17,2,3.75,3,2.33,0,2.27
31,Experimental,Educación,3,Social Sciences/Education,Masculino,2001,8,Ninguna,4,4,2,4,5,3,2,1,1,1,1,1,4,5,4,4,5,4,5,5,2,3,1,4,3,3,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,T2,14,3.67,4,1.17,1,4.5,6,2.67,3,3.12
32,Experimental,Educación,3,Social Sciences/Education,Femenino,1998,4,Ninguna,3,3,2,4,5,4,5,5,3,5,3,4,4,2,3,4,4,2,5,4,2,5,3,2,5,5,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,T2,18,3.5,4,4.17,5,3.5,5,3.67,4,3.69
33,Experimental,Ingeniería,2,Engineering/Sciences,No binario,1999,5,Básica,4,4,4,4,3,4,3,2,4,2,5,3,3,2,3,4,3,4,5,4,4,2,3,5,4,5,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,T2,18,3.83,5,3.17,4,3.5,5,3.83,4,3.58
34,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Masculino,2000,2,Básica,2,1,1,3,3,3,3,2,2,2,1,1,2,2,3,3,1,3,2,4,3,1,5,4,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,T2,6,2.17,1,1.83,1,2.5,3,3.17,1,2.42
35,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,2,Básica,4,2,3,3,2,4,1,2,2,1,2,2,3,2,4,4,4,4,3,2,2,1,1,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,T2,10,3.0,2,1.67,2,3.25,6,1.67,0,2.46
36,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,1999,4,Básica,4,3,4,4,3,3,4,2,1,2,4,1,1,3,1,3,2,2,3,3,3,3,3,2,3,4,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,T2,12,3.5,4,2.33,2,2.25,4,3.0,2,2.73
37,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2000,4,Básica,4,3,3,4,2,4,2,2,3,2,3,3,2,2,5,1,2,3,4,4,1,1,3,2,1,3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,T2,11,3.33,3,2.5,2,2.88,3,1.83,3,2.65
38,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,1998,10,Avanzada,4,2,3,4,4,2,2,2,3,2,2,5,3,3,5,5,3,4,4,5,3,5,5,4,4,4,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,T2,19,3.17,5,2.67,1,4.0,8,4.17,5,3.54
39,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2005,7,Básica,1,1,2,2,1,2,2,1,2,3,2,4,2,3,4,4,4,3,3,4,1,2,1,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,T2,10,1.5,0,2.33,2,3.38,7,1.67,1,2.31
40,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2003,5,Básica,4,5,4,5,5,4,3,4,4,2,3,3,3,3,3,4,3,1,4,4,3,2,5,4,5,4,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,T2,16,4.5,5,3.17,2,3.12,5,3.83,4,3.62
41,Experimental,Educación,3,Social Sciences/Education,Masculino,2004,5,Avanzada,2,4,2,3,4,2,2,4,3,2,2,3,5,5,3,3,3,4,3,5,2,4,2,1,4,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,T2,18,2.83,6,2.67,4,3.88,5,2.5,3,3.04
42,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2001,3,Ninguna,4,5,4,4,5,5,4,2,2,4,3,5,5,4,4,4,5,5,5,5,5,3,5,5,3,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,T2,21,4.5,6,3.33,4,4.62,6,4.17,5,4.19
43,Experimental,Ciencias Sociales,4,Social Sciences/Education,No binario,2004,4,Básica,2,3,2,3,4,3,1,1,1,1,1,1,2,1,3,3,1,2,3,2,2,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,T2,8,2.83,5,1.0,0,2.12,2,1.67,1,1.92
44,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,6,Básica,2,2,2,2,3,1,3,2,2,4,2,2,3,4,4,5,5,5,2,3,4,3,5,5,3,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,T2,12,2.0,0,2.5,2,3.88,5,3.83,5,3.12
45,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,1998,10,Básica,3,4,3,4,4,3,3,3,4,4,4,3,3,3,4,4,3,3,5,2,5,5,4,4,5,3,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,T2,18,3.5,5,3.5,2,3.38,5,4.33,6,3.65
46,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,2005,4,Básica,3,3,4,4,3,4,1,1,3,1,1,1,1,2,2,2,2,2,4,1,1,2,3,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,T2,7,3.5,5,1.33,0,2.0,2,1.83,0,2.15
47,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2003,3,Básica,3,1,2,5,3,3,3,2,2,2,1,3,3,4,5,3,4,3,5,3,3,4,4,3,3,4,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,T2,14,2.83,4,2.17,1,3.75,6,3.5,3,3.12
48,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2002,6,Intermedia,3,1,3,1,2,2,1,1,1,1,2,1,3,3,3,1,1,2,2,2,3,5,1,3,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,T2,10,2.0,3,1.17,1,2.12,3,2.83,3,2.04
49,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2005,7,Básica,4,4,3,1,3,4,1,2,1,1,1,1,3,3,3,4,3,3,5,4,4,2,2,3,4,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,T2,11,3.17,2,1.17,0,3.5,6,2.83,3,2.73
50,Experimental,Educación,3,Social Sciences/Education,Femenino,2004,9,Ninguna,3,1,2,2,2,1,2,1,1,1,1,2,3,3,2,2,2,2,5,4,4,2,1,2,3,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,T2,9,1.83,1,1.33,2,2.88,6,2.33,0,2.15
51,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,1999,6,Ninguna,3,1,5,2,3,3,3,3,1,3,2,1,2,5,5,5,1,5,2,4,5,2,5,3,3,5,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,T2,16,2.83,3,2.17,1,3.62,6,3.83,6,3.15
52,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2001,8,Avanzada,2,3,2,1,1,1,1,2,1,1,1,1,2,4,4,1,2,2,3,3,3,3,4,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,T2,11,1.67,2,1.17,1,2.62,4,3.0,4,2.15
53,Experimental,Educación,3,Social Sciences/Education,Femenino,2000,2,Básica,4,4,5,3,3,4,5,4,4,5,5,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,T2,24,3.83,5,4.5,6,4.5,7,5.0,6,4.46
54,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2000,4,Básica,5,5,2,5,3,5,2,2,2,2,2,2,5,2,3,1,2,5,1,4,4,3,5,2,5,3,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,T2,13,4.17,5,2.0,0,2.88,4,3.67,4,3.15
55,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,2003,5,Básica,3,3,2,3,3,1,1,2,2,1,1,2,1,2,3,3,3,1,1,3,2,1,1,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,T2,8,2.5,3,1.5,1,2.12,3,1.5,1,1.92
56,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2005,4,Básica,5,4,3,5,5,5,2,3,2,2,2,2,5,4,4,5,4,4,5,4,1,3,3,2,2,3,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,T2,13,4.5,3,2.17,1,4.38,6,2.33,3,3.42
57,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2004,8,Básica,4,3,1,3,3,3,3,2,2,4,2,3,4,4,4,3,4,4,3,2,2,2,4,2,3,2,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,T2,14,2.83,5,2.67,2,3.5,5,2.5,2,2.92
58,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,1998,2,Ninguna,4,4,3,3,3,5,4,4,2,3,2,3,4,4,3,4,4,5,3,5,4,5,5,2,3,3,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,T2,19,3.67,5,3.0,3,4.0,6,3.67,5,3.62
59,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2000,7,Básica,4,3,3,5,3,2,1,1,2,2,1,2,5,5,4,4,4,5,5,5,4,4,3,5,3,5,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,T2,18,3.33,5,1.5,1,4.62,7,4.0,5,3.46
60,Experimental,Educación,3,Social Sciences/Education,Femenino,1999,9,Intermedia,1,1,1,2,1,2,2,1,1,1,2,1,4,2,2,2,3,3,2,2,1,4,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,T2,4,1.33,0,1.33,0,2.5,2,2.17,2,1.88
61,Experimental,Educación,3,Social Sciences/Education,Masculino,2004,4,Básica,1,2,1,4,2,1,1,2,4,2,1,1,5,3,4,4,5,4,3,2,2,3,2,4,4,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,T2,10,1.83,2,1.83,0,3.75,6,2.83,2,2.65
62,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2000,4,Básica,1,1,3,2,2,1,1,1,1,2,1,1,3,2,3,4,3,2,3,3,2,1,3,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,T2,9,1.67,3,1.17,0,2.88,4,1.83,2,1.96
63,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2000,6,Básica,5,5,5,5,3,5,4,3,2,3,4,4,3,5,4,3,4,1,2,5,4,3,5,5,3,5,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,T2,20,4.67,5,3.33,3,3.38,7,4.17,5,3.85
64,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,7,Básica,5,5,4,4,3,5,4,4,3,5,5,3,3,2,2,3,2,5,3,3,3,3,4,4,3,3,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,T2,14,4.33,4,4.0,6,2.88,2,3.33,2,3.58
65,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,2004,7,Básica,2,4,4,5,5,4,5,4,5,4,5,3,4,3,3,5,3,5,2,5,5,1,5,3,2,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,T2,21,4.0,5,4.33,5,3.75,6,3.0,5,3.77
66,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2000,6,Básica,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,T2,2,1.17,1,1.5,0,1.12,0,1.33,1,1.27
67,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,2001,3,Avanzada,5,4,3,4,5,5,2,3,3,2,3,3,5,4,5,5,5,5,4,5,2,2,3,3,3,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,T2,16,4.33,5,2.67,3,4.75,7,2.33,1,3.62
68,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2002,4,Ninguna,3,2,2,2,3,3,1,2,2,2,3,2,5,4,5,3,5,5,5,2,2,2,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,T2,10,2.5,3,2.0,0,4.25,6,2.33,1,2.88
69,Experimental,Educación,3,Social Sciences/Education,Masculino,2004,2,Básica,3,5,4,3,5,3,4,3,2,3,3,2,4,2,4,3,4,4,4,3,2,2,4,4,5,3,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,T2,14,3.83,5,2.83,4,3.5,3,3.33,2,3.38
70,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,2002,5,Básica,3,3,2,3,3,3,3,3,3,2,2,2,5,3,4,3,4,4,3,4,2,3,2,3,2,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,T2,11,2.83,2,2.5,1,3.75,7,2.33,1,2.92
